Material_Num,Sample_Material,Sample_Material->GetDensity(g/cm3),Sample_Material->GetElectronDensity(1/cm3),Sample_Material->GetRadlen(cm),Sample_Material->GetIonisation()->GetMeanExcitationEnergy(eV),Sample_Material->GetIonisation()->GetPlasmaEnergy(eV),Sample_Material->GetIonisation()->GetAdjustmentFactor,Sample_Material->GetIonisation()->GetEnergy1fluct(eV),Sample_Material->GetIonisation()->GetEnergy2fluct(eV),Sample_Material->GetIonisation()->GetEnergy0fluct(eV),Sample_Material->GetIonisation()->GetRateionexcfluct(eV),Sample_Material->GetIonisation()->GetZeffective,Sample_Material->GetIonisation()->GetFermiEnergy(eV)
21,Astatine,4.00E+00,9.75E+23,1.52E+00,825,3.67E+01,1,7.41E+02,72250,10,400000,85,4699.57
22,Gold,4.00E+00,9.66E+23,1.62E+00,790,3.65E+01,1,7.05E+02,62410,10,400000,79,41467.2
23,Tellurium,4.00E+00,9.82E+23,2.21E+00,485,4.60E+01,1.577,4.13E+02,27040,10,400000,52,25235.6
24,Cadmium,4.00E+00,1.03E+24,2.25E+00,469,5.54E+01,1.895,3.96E+02,23040,10,400000,48,20292.3
25,Iridium,4.00E+00,9.65E+23,1.65E+00,757,3.65E+01,1,6.74E+02,59290,10,400000,77,29992.1
26,Platinum,4.00E+00,9.63E+23,1.64E+00,790,3.64E+01,1,7.05E+02,60840,10,400000,78,38322.3
27,Antimony,4.00E+00,1.01E+24,2.18E+00,487,4.82E+01,1.645,4.14E+02,26010,10,400000,51,21694.6
28,Osmium,4.00E+00,9.62E+23,1.67E+00,746,3.64E+01,1,6.63E+02,57760,10,400000,76,28799.3
29,Polonium,4.00E+00,9.68E+23,1.54E+00,830,5.58E+01,1.637,7.45E+02,70560,10,400000,84,16299.8
30,Palladium,4.00E+00,1.04E+24,2.30E+00,470,3.79E+01,1,3.95E+02,21160,10,400000,46,40379.7
31,Boron,4.00E+00,1.11E+24,1.32E+01,76,30.17,2.32,3.44E+01,250,10,400000,5,27489
32,Silicon,4.00E+00,1.20E+24,5.46E+00,173,3.11E+01,2.103,1.15E+02,1960,10,400000,14,23722.3
33,Iron,4.00E+00,1.12E+24,3.46E+00,286,5.52E+01,2.504,2.20E+02,6760,10,400000,26,21485.5
34,Germanium,4.00E+00,1.06E+24,3.06E+00,350,4.41E+01,2.461,2.79E+02,10240,10,400000,32,22562.5
35,Cobalt,4.00E+00,1.10E+24,3.40E+00,297,5.82E+01,2.626,2.30E+02,7290,10,400000,27,25235.6
36,Tungsten,4.00E+00,9.70E+23,1.69E+00,727,3.66E+01,1,6.45E+02,54760,10,400000,74,38322.3
37,Rhenium,4.00E+00,9.70E+23,1.67E+00,736,3.66E+01,1,6.54E+02,56250,10,400000,75,27300.6
38,Copper,4.00E+00,1.10E+24,3.22E+00,322,5.83E+01,2.956,2.53E+02,8410,10,400000,29,28414.2
39,Magnesium,4.00E+00,1.19E+24,6.26E+00,156,2.67E+01,2.331,1.00E+02,1440,10,400000,12,12628.8
40,Nickel,4.00E+00,1.15E+24,3.17E+00,311,5.94E+01,2.889,2.43E+02,7840,10,400000,28,36000
41,Silver,4.00E+00,1.05E+24,2.24E+00,470,6.16E+01,1.933,3.96E+02,22090,10,400000,47,39325.4
42,Tantalum,4.00E+00,9.72E+23,1.70E+00,718,3.66E+01,1,6.36E+02,53290,10,400000,73,31483.3
43,Rhodium,4.00E+00,1.05E+24,2.32E+00,449,3.81E+01,1,3.76E+02,20250,10,400000,45,29604.5
44,Manganese,4.00E+00,1.10E+24,3.66E+00,272,5.30E+01,2.347,2.07E+02,6250,10,400000,25,31483.3
45,Lead,4.00E+00,9.53E+23,1.59E+00,823,3.63E+01,1,7.37E+02,67240,10,400000,82,18025.1
46,Ruthenium,4.00E+00,1.05E+24,2.37E+00,441,3.80E+01,1,3.68E+02,19360,10,400000,44,31590
47,Tin,4.00E+00,1.01E+24,2.20E+00,488,5.06E+01,1.732,4.14E+02,25000,10,400000,50,18513.2
48,Bismuth,4.00E+00,9.57E+23,1.57E+00,823,5.67E+01,1.684,7.38E+02,68890,10,400000,83,19551
49,Technetium,4.00E+00,1.06E+24,2.40E+00,428,3.82E+01,1,3.56E+02,18490,10,400000,43,31472.1
50,Molybdenum,4.00E+00,1.05E+24,2.45E+00,424,6.10E+01,1.658,3.52E+02,17640,10,400000,42,39325.4
51,Titanium,4.00E+00,1.11E+24,4.04E+00,233,4.16E+01,1.969,1.72E+02,4840,10,400000,22,24715.8
52,Hafnium,4.00E+00,9.72E+23,1.72E+00,705,3.66E+01,1,6.24E+02,51840,10,400000,72,17242.4
53,Chromium,4.00E+00,1.11E+24,3.74E+00,257,5.25E+01,2.181,1.94E+02,5760,10,400000,24,38322.3
54,Niobium,4.00E+00,1.06E+24,2.48E+00,417,5.60E+01,1.734,3.45E+02,16810,10,400000,41,26471
55,Vanadium,4.00E+00,1.09E+24,3.96E+00,245,4.79E+01,2.07,1.83E+02,5290,10,400000,23,32621.2
56,Zirconium,4.00E+00,1.06E+24,2.55E+00,393,4.87E+01,1.638,3.23E+02,16000,10,400000,40,26045.7
57,Scandium,4.00E+00,1.13E+24,4.14E+00,216,3.41E+01,1.826,1.57E+02,4410,10,400000,21,16690.1
58,Thorium,4.00E+00,9.34E+23,1.52E+00,847,3.59E+01,1,7.64E+02,81000,10,400000,90,16428.8
59,Neptunium,4.00E+00,9.45E+23,1.47E+00,902,3.61E+01,1,8.16E+02,86490,10,400000,93,26301.5
60,Ytterbium,4.00E+00,9.74E+23,1.76E+00,684,4.75E+01,2.505,6.03E+02,49000,10,400000,70,9574.07
61,Yttrium,4.00E+00,1.06E+24,2.60E+00,379,4.03E+01,1.649,3.10E+02,15210,10,400000,39,15121.6
62,Berkelium,4.00E+00,9.46E+23,1.42E+00,952,3.61E+01,1,8.64E+02,94090,10,400000,97,26301.5
63,Uranium,4.00E+00,9.31E+23,1.50E+00,890,3.58E+01,1,8.04E+02,84640,10,400000,92,26301.5
64,Thulium,4.00E+00,9.84E+23,1.76E+00,674,5.62E+01,2.333,5.94E+02,47610,10,400000,69,11804.4
65,Gadolinium,4.00E+00,9.80E+23,1.87E+00,591,5.17E+01,1.882,5.15E+02,40960,10,400000,64,12342.2
66,Calcium,4.00E+00,1.20E+24,4.04E+00,191,2.53E+01,1.666,1.36E+02,4000,10,400000,20,9831.99
67,Thallium,4.00E+00,9.55E+23,1.60E+00,810,3.63E+01,1,7.25E+02,65610,10,400000,81,11022.7
68,Erbium,4.00E+00,9.79E+23,1.79E+00,658,5.53E+01,2.26,5.78E+02,46240,10,400000,68,11741.6
69,Plutonium,4.00E+00,9.28E+23,1.48E+00,921,3.58E+01,1,8.34E+02,88360,10,400000,94,26301.5
70,Holmium,4.00E+00,9.79E+23,1.81E+00,650,5.45E+01,2.197,5.71E+02,44890,10,400000,67,11601.2
71,Gallium,4.00E+00,1.07E+24,3.12E+00,334,4.67E+01,2.747,2.65E+02,9610,10,400000,31,18025.1
72,Curium,4.00E+00,9.36E+23,1.45E+00,939,3.59E+01,1,8.52E+02,92160,10,400000,96,26301.5
73,Aluminum,4.00E+00,1.16E+24,6.00E+00,166,3.29E+01,2.18,1.09E+02,1690,10,400000,13,20484.2
74,Americium,4.00E+00,9.42E+23,1.45E+00,934,3.60E+01,1,8.47E+02,90250,10,400000,95,26301.5
75,Dysprosium,4.00E+00,9.78E+23,1.83E+00,628,5.37E+01,2.081,5.50E+02,43560,10,400000,66,11629.1
76,Protactinium,4.00E+00,9.49E+23,1.48E+00,878,3.62E+01,1,7.93E+02,82810,10,400000,91,95824.5
77,Terbium,4.00E+00,9.85E+23,1.84E+00,614,5.29E+01,1.993,5.37E+02,42250,10,400000,65,11576.7
78,Indium,4.00E+00,1.03E+24,2.21E+00,488,5.09E+01,1.851,4.13E+02,24010,10,400000,49,13724.4
79,Strontium,4.00E+00,1.04E+24,2.69E+00,366,3.02E+01,1.707,2.98E+02,14440,10,400000,38,8352.39
80,Europium,4.00E+00,9.99E+23,1.86E+00,580,4.25E+01,1.838,5.05E+02,39690,10,400000,63,8734.98
81,Samarium,4.00E+00,9.93E+23,1.89E+00,574,5.05E+01,1.749,4.99E+02,38440,10,400000,62,12763.8
82,Promethium,4.00E+00,1.01E+24,1.88E+00,560,5.02E+01,1.672,4.86E+02,37210,10,400000,61,12751.3
83,Lanthanum,4.00E+00,9.88E+23,2.03E+00,501,4.58E+01,1.392,4.30E+02,32490,10,400000,57,12075.6
84,Cerium,4.00E+00,9.97E+23,1.99E+00,523,4.78E+01,1.461,4.51E+02,33640,10,400000,58,13173.6
85,Neodymium,4.00E+00,1.00E+24,1.93E+00,546,4.88E+01,1.588,4.73E+02,36000,10,400000,60,11361.3
86,Praseodymium,4.00E+00,1.01E+24,1.94E+00,535,4.83E+01,1.52,4.62E+02,34810,10,400000,59,12674.3
87,Lutetium,4.00E+00,9.77E+23,1.73E+00,694,5.76E+01,2.348,6.13E+02,50410,10,400000,71,12888.5
88,Lithium,4.00E+00,1.04E+24,2.07E+01,40,3.79E+01,1,7.90E+00,90,10,400000,3,8934.72
89,Radium,4.00E+00,9.38E+23,1.54E+00,826,4.02E+01,1.403,7.43E+02,77440,10,400000,88,6621.36
90,Barium,4.00E+00,9.82E+23,2.08E+00,491,3.44E+01,1.41,4.21E+02,31360,10,400000,56,6581.79
91,Actinium,4.00E+00,9.44E+23,1.51E+00,841,5.73E+01,1.38,7.58E+02,79210,10,400000,89,13354.3
92,Sodium,4.00E+00,1.15E+24,6.93E+00,149,3.99E+01,1,9.36E+01,1210,10,400000,11,5120.94
93,Potassium,4.00E+00,1.17E+24,4.33E+00,190,4.02E+01,1,1.34E+02,3610,10,400000,19,3340.12
94,Rubidium,4.00E+00,1.04E+24,2.76E+00,363,2.35E+01,1.823,2.95E+02,13690,10,400000,37,3099.54
95,Francium,4.00E+00,9.40E+23,1.55E+00,827,3.60E+01,1,7.44E+02,75690,10,400000,87,4760.69
96,Cesium,4.00E+00,9.97E+23,2.08E+00,488,2.54E+01,1.462,4.18E+02,30250,10,400000,55,2662.77
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
