Material_Num,Sample_Material,Sample_Material->GetDensity(g/cm3),Sample_Material->GetElectronDensity(1/cm3),Sample_Material->GetRadlen(cm),Sample_Material->GetIonisation()->GetMeanExcitationEnergy(eV),Sample_Material->GetIonisation()->GetPlasmaEnergy(eV),Sample_Material->GetIonisation()->GetAdjustmentFactor,Sample_Material->GetIonisation()->GetEnergy1fluct(eV),Sample_Material->GetIonisation()->GetEnergy2fluct(eV),Sample_Material->GetIonisation()->GetEnergy0fluct(eV),Sample_Material->GetIonisation()->GetRateionexcfluct(eV),Sample_Material->GetIonisation()->GetZeffective,Sample_Material->GetIonisation()->GetFermiEnergy(eV)
0,Helium,4.00E+00,1.20E+24,23.5806,4.18E+01,4.07E+01,1,4.18E+01,4.00E+01,1.00E+01,400000,2,638.081
1,Neon,4.00E+00,1.19E+24,7.23E+00,137,4.06E+01,1,8.33E+01,1000,10,400000,10,2930.94
2,Fluorine,4.00E+00,1.14E+24,8.23E+00,115,3.97E+01,1,6.58E+01,810,10,400000,9,13898.7
3,Argon,4.00E+00,1.09E+24,4.89E+00,188,3.87E+01,1,1.32E+02,3240,10,400000,18,3963.28
4,Nitrogen,4.00E+00,1.20E+24,9.50E+00,82,4.07E+01,1,4.01E+01,490,10,400000,7,27984.1
5,Krypton,4.00E+00,1.03E+24,2.84E+00,352,3.78E+01,1,2.85E+02,12960,10,400000,36,3563.6
6,Oxygen,4.00E+00,1.20E+24,8.56E+00,95,4.08E+01,1,5.03E+01,640,10,400000,8,22062.7
7,Hydrogen,4.00E+00,2.39E+24,1.58E+01,19.2,5.74E+01,1,1.92E+01,10,10,400000,1,26568.9
8,Chlorine,4.00E+00,1.16E+24,4.82E+00,174,3.99E+01,1,1.20E+02,2890,10,400000,17,12541.2
9,Xenon,4.00E+00,9.91E+23,2.12E+00,482,3.70E+01,1,4.12E+02,29160,10,400000,54,4684.84
10,Bromine,4.00E+00,1.06E+24,2.86E+00,343,3.81E+01,1,2.76E+02,12250,10,400000,35,6178.95
11,Carbon,4.00E+00,1.20E+24,1.07E+01,81,2.88E+01,2.376,3.84E+01,360,10,400000,6,25000
12,Radon,4.00E+00,9.33E+23,1.57E+00,794,3.59E+01,1,7.13E+02,73960,10,400000,86,4393.84
13,Phosphorus,4.00E+00,1.17E+24,5.30E+00,173,2.97E+01,2.056,1.17E+02,2250,10,400000,15,23611.8
14,Iodine,4.00E+00,1.01E+24,2.12E+00,491,4.13E+01,1.50E+00,4.19E+02,28090,10,400000,53,7667.08
15,Mercury,4.00E+00,9.61E+23,1.61E+00,800,36.396,1,7.15E+02,64000,10,400000,80,15466.1
16,Sulfur,4.00E+00,1.20E+24,4.87E+00,180,2.88E+01,2.131,1.23E+02,2560,10,400000,16,20183.5
17,Arsenic,4.00E+00,1.06E+24,2.99E+00,347,4.58E+01,2.219,2.78E+02,10890,10,400000,33,29718.9
18,Selenium,4.00E+00,1.04E+24,2.98E+00,348,4.01E+01,2.104,2.80E+02,11560,10,400000,34,27191
19,Zinc,4.00E+00,1.11E+24,3.11E+00,330,5.21E+01,3.142,2.61E+02,9000,10,400000,30,23722.3
20,Beryllium,4.00E+00,1.07E+24,1.63E+01,63.7,2.61E+01,1.908,2.54E+01,160,10,400000,4,29057.5
