Name,comp_num,comp_Z,comp_Frac,Density
G4_ALUMINUM_OXIDE,1,13,2,3.97
G4_ALUMINUM_OXIDE,2,8,3,3.97
G4_ANTHRACENE,1,6,14,1.283
G4_ANTHRACENE,2,1,10,1.283
G4_BARIUM_FLUORIDE,1,56,1,4.89
G4_BARIUM_FLUORIDE,2,9,2,4.89
G4_BENZENE,1,6,6,0.87865
G4_BENZENE,2,1,6,0.87865
G4_BERYLLIUM_OXIDE,1,4,1,3.01
G4_BERYLLIUM_OXIDE,2,8,1,3.01
G4_BORON_CARBIDE,1,5,4,2.52
G4_BORON_CARBIDE,2,6,1,2.52
G4_BORON_OXIDE,1,5,2,1.812
G4_BORON_OXIDE,2,8,3,1.812
G4_CADMIUM_TELLURIDE,1,48,1,6.2
G4_CADMIUM_TELLURIDE,2,52,1,6.2
G4_CALCIUM_FLUORIDE,1,20,1,3.18
G4_CALCIUM_FLUORIDE,2,9,2,3.18
G4_CALCIUM_OXIDE,1,20,1,3.3
G4_CALCIUM_OXIDE,2,8,1,3.3
G4_CARBON_TETRACHLORIDE,1,6,1,1.594
G4_CARBON_TETRACHLORIDE,2,17,4,1.594
G4_CESIUM_FLUORIDE,1,55,1,4.115
G4_CESIUM_FLUORIDE,2,9,1,4.115
G4_CESIUM_IODIDE,1,55,1,4.51
G4_CESIUM_IODIDE,2,53,1,4.51
G4_CYCLOHEXANE,1,6,6,0.779
G4_CYCLOHEXANE,2,1,12,0.779
G4_FERRIC_OXIDE,1,26,2,5.2
G4_FERRIC_OXIDE,2,8,3,5.2
G4_FERROBORIDE,1,26,1,7.15
G4_FERROBORIDE,2,5,1,7.15
G4_FERROUS_OXIDE,1,26,1,5.7
G4_FERROUS_OXIDE,2,8,1,5.7
G4_GALLIUM_ARSENIDE,1,31,1,5.31
G4_GALLIUM_ARSENIDE,2,33,1,5.31
G4_N-HEPTANE,1,6,7,0.68376
G4_N-HEPTANE,2,1,16,0.68376
G4_N-HEXANE,1,6,6,0.6603
G4_N-HEXANE,2,1,14,0.6603
G4_LEAD_OXIDE,1,8,0.071682,9.53
G4_LEAD_OXIDE,2,82,0.928318,9.53
G4_LITHIUM_FLUORIDE,1,3,1,2.635
G4_LITHIUM_FLUORIDE,2,9,1,2.635
G4_LITHIUM_HYDRIDE,1,3,1,0.82
G4_LITHIUM_HYDRIDE,2,1,1,0.82
G4_LITHIUM_IODIDE,1,3,1,3.494
G4_LITHIUM_IODIDE,2,53,1,3.494
G4_LITHIUM_OXIDE,1,3,2,2.013
G4_LITHIUM_OXIDE,2,8,1,2.013
G4_MAGNESIUM_FLUORIDE,1,12,1,3
G4_MAGNESIUM_FLUORIDE,2,9,2,3
G4_MAGNESIUM_OXIDE,1,12,1,3.58
G4_MAGNESIUM_OXIDE,2,8,1,3.58
G4_MERCURIC_IODIDE,1,80,1,6.36
G4_MERCURIC_IODIDE,2,53,2,6.36
G4_NAPHTHALENE,1,6,10,1.145
G4_NAPHTHALENE,2,1,8,1.145
G4_OCTANE,1,6,8,0.7026
G4_OCTANE,2,1,18,0.7026
G4_PARAFFIN,1,6,25,0.93
G4_PARAFFIN,2,1,52,0.93
G4_N-PENTANE,1,6,5,0.6262
G4_N-PENTANE,2,1,12,0.6262
G4_POLYETHYLENE,1,6,1,0.94
G4_POLYETHYLENE,2,1,2,0.94
G4_POLYPROPYLENE,1,6,2,0.9
G4_POLYPROPYLENE,2,1,4,0.9
G4_POLYSTYRENE,1,6,8,1.06
G4_POLYSTYRENE,2,1,8,1.06
G4_TEFLON,1,6,2,2.2
G4_TEFLON,2,9,4,2.2
G4_POTASSIUM_IODIDE,1,19,1,3.13
G4_POTASSIUM_IODIDE,2,53,1,3.13
G4_POTASSIUM_OXIDE,1,19,2,2.32
G4_POTASSIUM_OXIDE,2,8,1,2.32
G4_RUBBER_BUTYL,1,1,0.143711,0.92
G4_RUBBER_BUTYL,2,6,0.856289,0.92
G4_RUBBER_NATURAL,1,1,0.118371,0.92
G4_RUBBER_NATURAL,2,6,0.881629,0.92
G4_SILICON_DIOXIDE,1,14,1,2.32
G4_SILICON_DIOXIDE,2,8,2,2.32
G4_SILVER_BROMIDE,1,47,1,6.473
G4_SILVER_BROMIDE,2,35,1,6.473
G4_SILVER_CHLORIDE,1,47,1,5.56
G4_SILVER_CHLORIDE,2,17,1,5.56
G4_SILVER_IODIDE,1,47,1,6.01
G4_SILVER_IODIDE,2,53,1,6.01
G4_SODIUM_IODIDE,1,11,1,3.667
G4_SODIUM_IODIDE,2,53,1,3.667
G4_SODIUM_MONOXIDE,1,11,2,2.27
G4_SODIUM_MONOXIDE,2,8,1,2.27
G4_STILBENE,1,6,14,0.9707
G4_STILBENE,2,1,12,0.9707
G4_TERPHENYL,1,6,18,1.24
G4_TERPHENYL,2,1,14,1.24
G4_TETRACHLOROETHYLENE,1,6,2,1.625
G4_TETRACHLOROETHYLENE,2,17,4,1.625
G4_THALLIUM_CHLORIDE,1,81,1,7.004
G4_THALLIUM_CHLORIDE,2,17,1,7.004
G4_TITANIUM_DIOXIDE,1,22,1,4.26
G4_TITANIUM_DIOXIDE,2,8,2,4.26
G4_TOLUENE,1,6,7,0.8669
G4_TOLUENE,2,1,8,0.8669
G4_TUNGSTEN_HEXAFLUORIDE,1,74,1,2.4
