Name,comp_num,comp_Z,comp_Frac,Density
G4_FREON-12B2,3,35,0.761659,1.8
G4_FREON-13,1,6,0.114983,0.95
G4_FREON-13,2,9,0.545621,0.95
G4_FREON-13,3,17,0.339396,0.95
G4_FREON-13B1,1,6,1,1.5
G4_FREON-13B1,2,9,3,1.5
G4_FREON-13B1,3,35,1,1.5
G4_FREON-13I1,1,6,0.061309,1.8
G4_FREON-13I1,2,9,0.290924,1.8
G4_FREON-13I1,3,53,0.647767,1.8
G4_GADOLINIUM_OXYSULFIDE,1,64,2,7.44
G4_GADOLINIUM_OXYSULFIDE,2,8,2,7.44
G4_GADOLINIUM_OXYSULFIDE,3,16,1,7.44
G4_GLYCEROL,1,6,3,1.2613
G4_GLYCEROL,2,1,8,1.2613
G4_GLYCEROL,3,8,3,1.2613
G4_LANTHANUM_OXYBROMIDE,1,57,1,6.28
G4_LANTHANUM_OXYBROMIDE,2,35,1,6.28
G4_LANTHANUM_OXYBROMIDE,3,8,1,6.28
G4_LANTHANUM_OXYSULFIDE,1,57,2,5.86
G4_LANTHANUM_OXYSULFIDE,2,8,2,5.86
G4_LANTHANUM_OXYSULFIDE,3,16,1,5.86
G4_LITHIUM_AMIDE,1,3,1,1.178
G4_LITHIUM_AMIDE,2,7,1,1.178
G4_LITHIUM_AMIDE,3,1,2,1.178
G4_LITHIUM_CARBONATE,1,3,2,2.11
G4_LITHIUM_CARBONATE,2,6,1,2.11
G4_LITHIUM_CARBONATE,3,8,3,2.11
G4_LITHIUM_TETRABORATE,1,3,2,2.44
G4_LITHIUM_TETRABORATE,2,5,4,2.44
G4_LITHIUM_TETRABORATE,3,8,7,2.44
G4_MAGNESIUM_CARBONATE,1,12,1,2.958
G4_MAGNESIUM_CARBONATE,2,6,1,2.958
G4_MAGNESIUM_CARBONATE,3,8,3,2.958
G4_MAGNESIUM_TETRABORATE,1,12,1,2.53
G4_MAGNESIUM_TETRABORATE,2,5,4,2.53
G4_MAGNESIUM_TETRABORATE,3,8,7,2.53
G4_METHANOL,1,6,1,0.7914
G4_METHANOL,2,1,4,0.7914
G4_METHANOL,3,8,1,0.7914
G4_POLYACRYLONITRILE,1,6,3,1.17
G4_POLYACRYLONITRILE,2,1,3,1.17
G4_POLYACRYLONITRILE,3,7,1,1.17
G4_POLYCARBONATE,1,6,16,1.2
G4_POLYCARBONATE,2,1,14,1.2
G4_POLYCARBONATE,3,8,3,1.2
G4_POLYCHLOROSTYRENE,1,6,8,1.3
G4_POLYCHLOROSTYRENE,2,1,7,1.3
G4_POLYCHLOROSTYRENE,3,17,1,1.3
G4_MYLAR,1,6,10,1.4
G4_MYLAR,2,1,8,1.4
G4_MYLAR,3,8,4,1.4
G4_PLEXIGLASS,1,6,5,1.19
G4_PLEXIGLASS,2,1,8,1.19
G4_PLEXIGLASS,3,8,2,1.19
G4_POLYOXYMETHYLENE,1,6,1,1.425
G4_POLYOXYMETHYLENE,2,1,2,1.425
G4_POLYOXYMETHYLENE,3,8,1,1.425
G4_POLYTRIFLUOROCHLOROETHYLENE,1,6,2,2.1
G4_POLYTRIFLUOROCHLOROETHYLENE,2,9,3,2.1
G4_POLYTRIFLUOROCHLOROETHYLENE,3,17,1,2.1
G4_POLYVINYL_ACETATE,1,6,4,1.19
