Material_Num,Sample_Material,Sample_Material->GetDensity(g/cm3),Sample_Material->GetElectronDensity(1/cm3),Sample_Material->GetRadlen(cm),Sample_Material->GetIonisation()->GetMeanExcitationEnergy(eV),Sample_Material->GetIonisation()->GetPlasmaEnergy(eV),Sample_Material->GetIonisation()->GetAdjustmentFactor,Sample_Material->GetIonisation()->GetEnergy1fluct(eV),Sample_Material->GetIonisation()->GetEnergy2fluct(eV),Sample_Material->GetIonisation()->GetEnergy0fluct(eV),Sample_Material->GetIonisation()->GetRateionexcfluct(eV),Sample_Material->GetIonisation()->GetZeffective,Sample_Material->GetIonisation()->GetFermiEnergy(eV)
18,G4_BENZENE,8.79E-01,2.85E+23,4.98E+01,63.4,1.98E+01,1.873,2.61E+01,315.045,10,400000,3.5,25778.5
19,G4_POLYPROPYLENE,9.00E-01,3.09E+23,4.97E+01,56.5,2.05E+01,1.884,2.13E+01,278.933,10,400000,2.66667,26040.6
20,G4_RUBBER_BUTYL,9.20E-01,3.16E+23,4.87E+01,56.5,2.09E+01,1.852,2.13E+01,278.937,10,400000,2.66673,26040.6
21,G4_RUBBER_NATURAL,9.20E-01,3.09E+23,4.83E+01,59.8,2.06E+01,1.889,2.36E+01,292.48,10,400000,2.92315,25959.8
22,G4_PARAFFIN,9.30E-01,3.21E+23,4.82E+01,55.9,2.10E+01,1.844,2.10E+01,276.354,10,400000,2.62338,26054.3
23,G4_POLYETHYLENE,9.40E-01,3.23E+23,4.76E+01,57.4,2.11E+01,1.882,2.19E+01,278.933,10,400000,2.66667,26040.6
24,"G4_N,N-DIMETHYL_FORMAMIDE",9.49E-01,3.13E+23,4.30E+01,66.6,2.08E+01,2.005,2.88E+01,377.827,10,400000,3.33333,25898.4
25,G4_ADIPOSE_TISSUE_ICRP,9.50E-01,3.18E+23,4.34E+01,63.2,2.07E+01,1.987,2.65E+01,362.284,10,400000,3.07292,25678
26,G4_FREON-13,9.50E-01,2.74E+23,2.86E+01,126.6,1.94E+01,2.116,7.71E+01,1292.82,10,400000,10,15564.1
27,G4_STILBENE,9.71E-01,3.11E+23,4.50E+01,67.7,2.07E+01,1.963,2.90E+01,320.863,10,400000,3.69231,25718.2
28,G4_Na,9.71E-01,2.80E+23,2.86E+01,149,1.96E+01,2.648,9.36E+01,1210,10,400000,11,5120.94
29,G4_PYRIDINE,9.82E-01,3.14E+23,4.34E+01,66.2,2.08E+01,1.895,2.82E+01,343.222,10,400000,3.81818,25975.2
30,G4_MIX_D_WAX,9.90E-01,3.37E+23,4.24E+01,60.9,2.15E+01,1.905,2.49E+01,343.581,10,400000,2.79832,25878.5
31,G4_Fr,1.00E+00,2.35E+23,6.19E+00,827,17.9978,1,7.44E+02,75690,10,400000,87,4760.69
32,G4_MS20_TISSUE,1.00E+00,3.25E+23,3.83E+01,75.1,2.12E+01,2.07,3.52E+01,459.172,10,400000,3.65489,25101.5
33,G4_TISSUE_SOFT_ICRU-4,1.00E+00,3.31E+23,3.68E+01,74.9,2.14E+01,2.192,3.54E+01,496.32,10,400000,3.45854,25100.4
34,G4_WATER,1.00E+00,3.34E+23,3.61E+01,78,2.15E+01,2.203,3.77E+01,520.809,10,400000,3.33333,25020.3
35,G4_DNA_ADENINE,1.00E+00,3.10E+23,4.05E+01,72,2.07E+01,1,3.26E+01,406.007,10,400000,4.92857,26499
36,G4_DNA_GUANINE,1.00E+00,3.09E+23,3.97E+01,72,2.06E+01,1,3.28E+01,428.422,10,400000,5.13333,26190.6
37,G4_DNA_CYTOSINE,1.00E+00,3.12E+23,3.99E+01,72,2.07E+01,1,3.28E+01,421.1,10,400000,4.75,25997.3
38,G4_DNA_THYMINE,1.00E+00,3.13E+23,3.96E+01,72,2.08E+01,1,3.28E+01,426.938,10,400000,4.64286,25536.2
39,G4_DNA_URACIL,1.00E+00,3.09E+23,3.90E+01,72,2.06E+01,1,3.30E+01,447.859,10,400000,5.18182,25399.5
40,G4_ANILINE,1.02E+00,3.31E+23,4.20E+01,66.2,2.14E+01,1.938,2.81E+01,333.112,10,400000,3.57143,25989.2
41,G4_FERROUS_SULFATE,1.02E+00,3.41E+23,3.48E+01,76.4,2.17E+01,2.208,3.68E+01,539.821,10,400000,3.39992,24984.7
42,G4_CERIC_SULFATE,1.03E+00,3.43E+23,3.43E+01,76.7,2.17E+01,2.205,3.71E+01,556.978,10,400000,3.41298,24981.1
43,G4_TISSUE_SOFT_ICRP,1.03E+00,3.42E+23,3.67E+01,72.3,2.14E+01,2.144,3.34E+01,463.352,10,400000,3.33497,25293.4
44,G4_PLASTIC_SC_VINYLTOLUENE,1.03E+00,3.37E+23,4.25E+01,64.7,2.15E+01,1.929,2.69E+01,310.644,10,400000,3.36842,25819.8
45,G4_BRAIN_ICRP,1.04E+00,3.46E+23,3.54E+01,73.3,2.18E+01,2.162,3.43E+01,496.884,10,400000,3.35306,25165.5
46,G4_LUNG_ICRP,1.04E+00,3.45E+23,3.50E+01,75.3,2.19E+01,2.184,3.58E+01,511.797,10,400000,3.40993,25078.1
47,G4_MUSCLE_STRIATED_ICRU,1.04E+00,3.45E+23,3.53E+01,74.7,2.18E+01,2.174,3.53E+01,502.126,10,400000,3.43876,25133
48,G4_TESTIS_ICRP,1.04E+00,3.46E+23,3.52E+01,75,2.18E+01,1,3.55E+01,505.379,10,400000,3.38648,25100.8
49,G4_M3_WAX,1.05E+00,3.51E+23,3.75E+01,67.9,2.20E+01,1.975,3.01E+01,417.56,10,400000,3.0943,25426.7
50,G4_MUSCLE_SKELETAL_ICRP,1.05E+00,3.48E+23,3.51E+01,75.3,2.19E+01,1,3.57E+01,498.436,10,400000,3.43241,25147.2
51,G4_BLOOD_ICRP,1.06E+00,3.51E+23,3.45E+01,75.2,2.20E+01,2.184,3.57E+01,507.799,10,400000,3.44677,25110.8
52,G4_POLYSTYRENE,1.06E+00,3.43E+23,4.13E+01,68.7,2.18E+01,2.027,2.96E+01,315.045,10,400000,3.5,25778.5
53,G4_EYE_LENS_ICRP,1.07E+00,3.53E+23,3.49E+01,73.3,2.24E+01,2.154,3.42E+01,479.418,10,400000,3.50426,25221.7
54,G4_MUSCLE_WITHOUT_SUCROSE,1.07E+00,3.54E+23,3.46E+01,74.2,2.21E+01,2.173,3.49E+01,491.492,10,400000,3.43614,25144.3
55,G4_TRIETHYL_PHOSPHATE,1.07E+00,3.47E+23,3.24E+01,81.2,2.19E+01,2.1,4.06E+01,611.217,10,400000,3.76923,25372.6
56,G4_NYLON-8062,1.08E+00,3.58E+23,3.89E+01,64.3,2.22E+01,1.967,2.70E+01,345.635,10,400000,3.18153,25881
57,G4_SKIN_ICRP,1.09E+00,3.60E+23,3.43E+01,72.7,2.24E+01,2.14,3.38E+01,478.449,10,400000,3.43543,25220
58,G4_AMBER,1.10E+00,3.66E+23,3.91E+01,63.2,2.25E+01,1.946,2.61E+01,322.686,10,400000,3.11119,25809.8
59,G4_DIMETHYL_SULFOXIDE,1.10E+00,3.57E+23,2.56E+01,98.6,2.22E+01,2.075,5.54E+01,1025.46,10,400000,4.2,25116.8
60,G4_CHLOROBENZENE,1.11E+00,3.43E+23,2.82E+01,89.1,2.18E+01,1.889,4.77E+01,853.934,10,400000,4.83333,24431.5
61,G4_MUSCLE_WITH_SUCROSE,1.11E+00,3.67E+23,3.35E+01,74.3,2.25E+01,2.169,3.49E+01,485.04,10,400000,3.48378,25149.4
62,G4_FREON-12,1.12E+00,3.24E+23,2.11E+01,143,2.11E+01,1.974,9.17E+01,1793.82,10,400000,11.6,15270.8
63,G4_POLYVINYL_BUTYRAL,1.12E+00,3.70E+23,3.72E+01,67.2,2.25E+01,2.021,2.90E+01,354.487,10,400000,3.25,25653
64,G4_A-150_TISSUE,1.13E+00,3.73E+23,3.71E+01,65.1,2.27E+01,1.95,2.76E+01,353.146,10,400000,3.18754,25774.9
65,G4_ETHYL_CELLULOSE,1.13E+00,3.70E+23,3.59E+01,69.3,2.26E+01,2.065,3.06E+01,384.331,10,400000,3.43596,25485.5
66,G4_NYLON-6-6,1.14E+00,3.76E+23,3.68E+01,63.9,2.28E+01,1.931,2.68E+01,350.068,10,400000,3.26316,25895.6
67,G4_NYLON-6-10,1.14E+00,3.79E+23,3.72E+01,63.2,2.29E+01,1.942,2.62E+01,335.296,10,400000,3.12007,25930.3
68,G4_lO2,1.14E+00,3.44E+23,3.00E+01,95,2.18E+01,1,5.03E+01,640,10,400000,8,22062.7
69,G4_NAPHTHALENE,1.15E+00,3.66E+23,3.81E+01,68.4,2.25E+01,1,2.94E+01,323.242,10,400000,3.77778,25691.4
70,G4_POLYACRYLONITRILE,1.17E+00,3.72E+23,3.60E+01,69.6,2.26E+01,1.955,3.06E+01,357.489,10,400000,4,26088
71,G4_LITHIUM_AMIDE,1.18E+00,3.71E+23,4.02E+01,55.5,2.26E+01,1.74,2.07E+01,277.133,10,400000,3,21594.8
72,G4_PLEXIGLASS,1.19E+00,3.87E+23,3.41E+01,74,2.31E+01,1,3.38E+01,388.942,10,400000,3.6,25421.9
73,G4_POLYVINYL_ACETATE,1.19E+00,3.83E+23,3.36E+01,73.7,2.30E+01,2.116,3.38E+01,408.595,10,400000,3.83333,25268.4
74,G4_LUCITE,1.19E+00,3.87E+23,3.41E+01,74,2.31E+01,2.173,3.38E+01,388.944,10,400000,3.60007,25421.9
75,G4_NITROBENZENE,1.20E+00,3.75E+23,3.34E+01,75.8,2.27E+01,2.065,3.52E+01,413.312,10,400000,4.57143,25327.3
76,G4_CELLULOSE_BUTYRATE,1.20E+00,3.85E+23,3.31E+01,74.6,2.30E+01,2.128,3.44E+01,414.648,10,400000,3.91119,25217.3
77,G4_POLYCARBONATE,1.20E+00,3.81E+23,3.46E+01,73.1,2.29E+01,2.06,3.30E+01,372.106,10,400000,4.06061,25381.5
78,G4_DICHLORODIETHYL_ETHER,1.22E+00,3.80E+23,2.17E+01,103.3,2.29E+01,1.903,6.03E+01,1298.61,10,400000,4.93333,23694.7
79,G4_RUBBER_NEOPRENE,1.23E+00,3.85E+23,2.36E+01,93,2.30E+01,1.874,5.15E+01,1024.18,10,400000,4.6001,24318.5
80,G4_VALINE,1.23E+00,4.05E+23,3.30E+01,67.7,2.36E+01,2.024,2.96E+01,383.488,10,400000,3.36842,25733.6
81,G4_NEOPRENE,1.23E+00,3.85E+23,2.36E+01,91.8861,2.30E+01,1,5.07E+01,1024.18,10,400000,4.6,24318.6
82,G4_THYMINE,1.23E+00,3.88E+23,3.23E+01,72,2.31E+01,1,3.28E+01,421.178,10,400000,4.4,25604.4
83,"G4_1,2-DICHLOROETHANE",1.24E+00,3.76E+23,1.86E+01,111.9,2.28E+01,1.618,6.91E+01,1870.86,10,400000,6.25,22208.5
84,G4_TERPHENYL,1.24E+00,3.96E+23,3.51E+01,71.7,2.31E+01,1.976,3.17E+01,324.175,10,400000,3.8125,25680.5
85,G4_BAKELITE,1.25E+00,3.97E+23,3.34E+01,72.4,2.34E+01,2.046,3.25E+01,365.871,10,400000,4.00009,25428
86,G4_POLYVINYL_PYRROLIDONE,1.25E+00,4.06E+23,3.33E+01,67.7,2.37E+01,1.989,2.94E+01,360.7,10,400000,3.52941,25816.9
87,G4_GLYCEROL,1.26E+00,4.12E+23,3.08E+01,72.6,2.38E+01,2.12,3.33E+01,436.206,10,400000,3.57143,25234.3
88,G4_ANTHRACENE,1.28E+00,4.07E+23,3.39E+01,69.5,2.37E+01,1.954,3.02E+01,326.868,10,400000,3.91667,25647.9
89,G4_GEL_PHOTO_EMULSION,1.29E+00,4.20E+23,3.02E+01,74.8,2.41E+01,2.156,3.47E+01,432.361,10,400000,3.66534,25502.9
90,G4_POLYCHLOROSTYRENE,1.30E+00,4.07E+23,2.54E+01,81.7,2.38E+01,1.902,4.19E+01,732.612,10,400000,4.5,24764.8
91,G4_POLYVINYL_ALCOHOL,1.30E+00,4.27E+23,3.10E+01,69.7,2.43E+01,1,3.10E+01,392.975,10,400000,3.42857,25452.2
92,G4_POLYVINYL_CHLORIDE,1.30E+00,4.01E+23,1.96E+01,108.2,2.35E+01,1.84,6.45E+01,1439.51,10,400000,5.33333,23368.9
93,"G4_1,2-DICHLOROBENZENE",1.30E+00,3.96E+23,2.07E+01,106.5,2.34E+01,1.862,6.23E+01,1247.39,10,400000,6.16667,23120.6
94,G4_CR39,1.32E+00,4.23E+23,3.00E+01,72.1049,2.42E+01,1,3.28E+01,420.674,10,400000,3.94595,25178.9
95,G4_URACIL,1.32E+00,4.11E+23,2.97E+01,72,2.38E+01,1,3.30E+01,441.034,10,400000,4.83333,25495.9
96,G4_UREA,1.32E+00,4.25E+23,2.93E+01,72.8,2.42E+01,2.022,3.35E+01,444.037,10,400000,4,26131.4
97,G4_lAr,1.40E+00,3.79E+23,1.40E+01,188,22.8542,1,1.32E+02,3240,10,400000,18,3963.28
98,G4_MYLAR,1.40E+00,4.39E+23,2.85E+01,78.7,2.46E+01,2.144,3.72E+01,416.832,10,400000,4.54545,25011.1
99,G4_DACRON,1.40E+00,4.39E+23,2.85E+01,75.9673,2.46E+01,1,3.54E+01,416.832,10,400000,4.54545,25011.1
100,G4_ALANINE,1.42E+00,4.61E+23,2.78E+01,71.9,2.52E+01,2.074,3.27E+01,419.848,10,400000,3.69231,25592.5
101,G4_CELLULOSE_CELLOPHANE,1.42E+00,4.54E+23,2.73E+01,77.6,2.50E+01,2.17,3.67E+01,445.681,10,400000,4.09524,25014.5
102,G4_KAPTON,1.42E+00,4.38E+23,2.86E+01,79.6,2.46E+01,2.109,3.78E+01,404.487,10,400000,5.02564,25156.8
103,G4_NYLON-11_RILSAN,1.43E+00,4.78E+23,3.02E+01,61.6,2.57E+01,1.902,2.50E+01,321.899,10,400000,3.00007,25959.5
104,G4_POLYOXYMETHYLENE,1.43E+00,4.57E+23,2.70E+01,77.4,2.51E+01,1,3.67E+01,452.931,10,400000,4,25015.3
105,G4_KEVLAR,1.44E+00,4.51E+23,2.87E+01,73.7229,2.49E+01,1,3.36E+01,381.266,10,400000,4.42857,25545.5
106,G4_B-100_BONE,1.45E+00,4.61E+23,2.21E+01,85.9,2.52E+01,2.013,4.49E+01,762.616,10,400000,4.17188,24250.3
107,G4_GLUTAMINE,1.46E+00,4.69E+23,2.70E+01,73.3,2.54E+01,2.077,3.37E+01,422.981,10,400000,3.9,25611.8
108,G4_TRICHLOROETHYLENE,1.46E+00,4.28E+23,1.48E+01,148.1,2.43E+01,1.789,9.73E+01,2210.02,10,400000,10.6667,18459.3
109,G4_CHLOROFORM,1.48E+00,4.34E+23,1.38E+01,156,24.462,1.734,1.04E+02,2483.2,10,400000,11.6,17269.9
110,G4_CELLULOSE_NITRATE,1.49E+00,4.61E+23,2.50E+01,87,2.52E+01,2.252,4.37E+01,508.6,10,400000,5.33599,24591
111,G4_FREON-13B1,1.50E+00,4.13E+23,1.10E+01,210.5,23.849,2.233,1.55E+02,5157.17,10,400000,13.6,13942.8
112,G4_Rb,1.53E+00,3.99E+23,7.20E+00,363,23.467,1.823,2.95E+02,13690,10,400000,37,3099.54
113,G4_Ca,1.55E+00,4.66E+23,1.04E+01,191,25.342,1.666,1.36E+02,4000,10,400000,20,9831.99
114,G4_CYTOSINE,1.55E+00,4.87E+23,2.58E+01,72,2.59E+01,1,3.27E+01,414.661,10,400000,4.46154,26041.1
115,G4_SUCROSE,1.58E+00,5.06E+23,2.44E+01,77.5,2.64E+01,2.167,3.67E+01,449.489,10,400000,4.04444,25014.9
116,G4_CARBON_TETRACHLORIDE,1.59E+00,4.62E+23,1.26E+01,166.3,25.234,1.742,1.13E+02,2605.35,10,400000,14.8,14692.5
117,G4_ADENINE,1.60E+00,4.99E+23,2.54E+01,71.4,2.41E+01,1.892,3.22E+01,400.917,10,400000,4.66667,26503.6
118,G4_TETRACHLOROETHYLENE,1.63E+00,4.72E+23,1.29E+01,159.2,25.513,1.79,1.06E+02,2373.63,10,400000,13.3333,16221.3
119,G4_POLYVINYLIDENE_CHLORIDE,1.70E+00,5.07E+23,1.33E+01,134.3,2.64E+01,1.814,8.58E+01,1943.68,10,400000,8,20841.8
120,G4_GRAPHITE_POROUS,1.70E+00,5.11E+23,2.51E+01,78,2.66E+01,2.49,3.63E+01,360,10,400000,6,25000
121,G4_Mg,1.74E+00,5.17E+23,1.44E+01,156,26.708,2.331,1.00E+02,1440,10,400000,12,12628.8
122,G4_C-552,1.76E+00,5.30E+23,2.14E+01,86.8,2.70E+01,2.128,4.38E+01,534.809,10,400000,5.48146,22077.9
123,G4_POLYVINYLIDENE_FLUORIDE,1.76E+00,5.30E+23,2.08E+01,88.8,2.70E+01,2.16,4.55E+01,581.062,10,400000,5.33333,21414.1
124,G4_FREON-12B2,1.80E+00,4.86E+23,7.56E+00,284.9,25.877,2.195,2.21E+02,8197.57,10,400000,18.8,12149
125,G4_FREON-13I1,1.80E+00,4.76E+23,6.41E+00,293.5,25.615,1.924,2.36E+02,13926.2,10,400000,17.2,14369.1
126,G4_VITON,1.80E+00,5.27E+23,1.96E+01,98.6,2.69E+01,2.227,5.29E+01,653.349,10,400000,6.93336,18855.2
127,G4_BORON_OXIDE,1.81E+00,5.33E+23,2.12E+01,99.6,2.71E+01,2.446,5.27E+01,499.607,10,400000,6.8,24161.7
128,G4_Be,1.85E+00,4.94E+23,3.53E+01,63.7,2.61E+01,1.908,2.54E+01,160,10,400000,4,29057.5
129,G4_BONE_COMPACT_ICRU,1.85E+00,5.91E+23,1.65E+01,91.9,2.85E+01,2.091,4.97E+01,855.07,10,400000,4.40778,24610.7
130,G4_Cs,1.87E+00,4.67E+23,4.43E+00,488,25.37,1.462,4.18E+02,30250,10,400000,55,2662.77
131,G4_BONE_CORTICAL_ICRP,1.92E+00,5.95E+23,1.41E+01,110,2.83E+01,2.118,6.44E+01,1180.7,10,400000,5.98705,23468.7
132,G4_C,2.00E+00,6.02E+23,2.13E+01,81,2.88E+01,2.376,3.84E+01,360,10,400000,6,25000
133,G4_S,2.00E+00,6.01E+23,9.75E+00,180,28.789,2.131,1.23E+02,2560,10,400000,16,20183.5
134,G4_LITHIUM_OXIDE,2.01E+00,5.68E+23,2.34E+01,73.6,2.80E+01,2.039,3.30E+01,322.32,10,400000,4.66667,12662.4
135,G4_POLYTRIFLUOROCHLOROETHYLENE,2.10E+00,6.08E+23,1.34E+01,120.7,2.90E+01,2.094,7.21E+01,1169.95,10,400000,9.33333,16982.2
136,G4_LITHIUM_CARBONATE,2.11E+00,6.19E+23,1.89E+01,87.9,2.92E+01,2.246,4.40E+01,453.689,10,400000,6,17457.8
