Material_Num,Sample_Material,Sample_Material->GetDensity(g/cm3),Sample_Material->GetElectronDensity(1/cm3),Sample_Material->GetRadlen(cm),Sample_Material->GetIonisation()->GetMeanExcitationEnergy(eV),Sample_Material->GetIonisation()->GetPlasmaEnergy(eV),Sample_Material->GetIonisation()->GetAdjustmentFactor,Sample_Material->GetIonisation()->GetEnergy1fluct(eV),Sample_Material->GetIonisation()->GetEnergy2fluct(eV),Sample_Material->GetIonisation()->GetEnergy0fluct(eV),Sample_Material->GetIonisation()->GetRateionexcfluct(eV),Sample_Material->GetIonisation()->GetZeffective,Sample_Material->GetIonisation()->GetFermiEnergy(eV)
170,G4_CALCIUM_OXIDE,3.30E+00,9.92E+23,5.76E+00,176.1,36.988,1.973,1.21E+02,2747.73,10,400000,14,15337.8
171,G4_LITHIUM_IODIDE,3.49E+00,8.80E+23,2.55E+00,485.1,34.841,1.706,4.12E+02,25409.1,10,400000,28,8288.78
172,G4_Ba,3.50E+00,8.60E+23,2.37E+00,491,34.425,1.41,4.21E+02,31360,10,400000,56,6581.79
173,G4_MAGNESIUM_OXIDE,3.58E+00,1.07E+24,7.83E+00,143.8,3.84E+01,2.412,8.90E+01,1084.13,10,400000,10,17018.9
174,G4_SODIUM_IODIDE,3.67E+00,9.43E+23,2.59E+00,452,36.057,1.857,3.80E+02,21676.7,10,400000,32,6330
175,G4_PHOTO_EMULSION,3.82E+00,1.04E+24,2.97E+00,331,37.946,2.264,2.67E+02,12822.7,10,400000,13.227,23800.3
176,G4_ALUMINUM_OXIDE,3.97E+00,1.17E+24,7.04E+00,145.2,4.02E+01,1,9.03E+01,1133.43,10,400000,10,21424.3
177,G4_CESIUM_FLUORIDE,4.12E+00,1.04E+24,2.23E+00,440.7,37.942,1.714,3.72E+02,24252.5,10,400000,32,7182.13
178,G4_TITANIUM_DIOXIDE,4.26E+00,1.22E+24,4.81E+00,179.5,41.022,2.307,1.23E+02,2686.58,10,400000,12.6667,22930.4
179,G4_Y,4.47E+00,1.18E+24,2.33E+00,379,40.346,1.649,3.10E+02,15210,10,400000,39,15121.6
180,G4_Se,4.50E+00,1.17E+24,2.65E+00,348,40.112,2.104,2.80E+02,11560,10,400000,34,27191
181,G4_BARIUM_SULFATE,4.50E+00,1.21E+24,2.59E+00,285.7,40.805,1.893,2.29E+02,13944.5,10,400000,17.3333,18556.7
182,G4_CESIUM_IODIDE,4.51E+00,1.13E+24,1.86E+00,553.1,39.455,1.672,4.75E+02,29185,10,400000,54,4841.65
183,G4_Ti,4.54E+00,1.26E+24,3.56E+00,233,41.619,1.969,1.72E+02,4840,10,400000,22,24715.8
184,G4_BARIUM_FLUORIDE,4.89E+00,1.24E+24,2.03E+00,375.9,41.398,1.727,3.13E+02,20989.2,10,400000,24.6667,11159.4
185,G4_I,4.93E+00,1.24E+24,1.72E+00,491,41.348,1.498,4.19E+02,28090,10,400000,53,7667.08
186,G4_Ra,5.00E+00,1.17E+24,1.23E+00,826,40.205,1.403,7.43E+02,77440,10,400000,88,6621.36
187,G4_FERRIC_OXIDE,5.20E+00,1.49E+24,3.24E+00,227.3,45.331,2.747,1.66E+02,4239.34,10,400000,15.2,21830.9
188,G4_Eu,5.24E+00,1.31E+24,1.42E+00,580,42.484,1.838,5.05E+02,39690,10,400000,63,8734.98
189,G4_GALLIUM_ARSENIDE,5.31E+00,1.41E+24,2.30E+00,384.9,44.17,2.652,3.09E+02,10263,10,400000,32,23508.4
190,G4_Ge,5.32E+00,1.41E+24,2.30E+00,350,44.141,2.461,2.79E+02,10240,10,400000,32,22562.5
191,G4_SILVER_CHLORIDE,5.56E+00,1.50E+24,1.86E+00,398.4,45.405,2.096,3.28E+02,15665,10,400000,32,24070.6
192,G4_FERROUS_OXIDE,5.70E+00,1.62E+24,2.80E+00,248.6,47.327,2.769,1.85E+02,4836.26,10,400000,17,21773.2
193,G4_As,5.73E+00,1.52E+24,2.08E+00,347,45.779,2.219,2.78E+02,10890,10,400000,33,29718.9
194,G4_LANTHANUM_OXYSULFIDE,5.86E+00,1.51E+24,1.59E+00,421.2,45.394,1.681,3.54E+02,23588.6,10,400000,29.2,17366.9
195,G4_Ga,5.90E+00,1.58E+24,2.11E+00,334,46.688,2.747,2.65E+02,9610,10,400000,31,18025.1
196,G4_SILVER_IODIDE,6.01E+00,1.54E+24,1.45E+00,543.5,46.105,1.945,4.64E+02,25243.8,10,400000,50,20430.2
197,G4_CALCIUM_TUNGSTATE,6.06E+00,1.60E+24,1.51E+00,395,46.934,2.262,3.33E+02,26845.7,10,400000,21,21956.3
198,G4_V,6.11E+00,1.66E+24,2.59E+00,245,47.861,2.07,1.83E+02,5290,10,400000,23,32621.2
199,G4_La,6.15E+00,1.52E+24,1.32E+00,501,45.792,1.392,4.30E+02,32490,10,400000,57,12075.6
200,G4_CADMIUM_TELLURIDE,6.20E+00,1.56E+24,1.44E+00,539.3,46.314,1.935,4.60E+02,25126.7,10,400000,50,22696.6
201,G4_GLASS_LEAD,6.22E+00,1.58E+24,1.27E+00,526.4,46.631,2.085,4.58E+02,41355.4,10,400000,25.5278,21459.7
202,G4_Te,6.24E+00,1.53E+24,1.41E+00,485,45.952,1.577,4.13E+02,27040,10,400000,52,25235.6
203,G4_LANTHANUM_OXYBROMIDE,6.28E+00,1.61E+24,1.52E+00,439.7,47.125,1.831,3.69E+02,21321.1,10,400000,33.3333,12621.1
204,G4_MERCURIC_IODIDE,6.36E+00,1.57E+24,1.17E+00,684.5,46.494,1.892,6.00E+02,42145,10,400000,62,9965.81
205,G4_SILVER_HALIDES,6.47E+00,1.70E+24,1.52E+00,487.1,48.433,2.27,4.07E+02,17594.2,10,400000,41.0447,19176.3
206,G4_SILVER_BROMIDE,6.47E+00,1.70E+24,1.53E+00,486.6,48.448,2.271,4.07E+02,17550.7,10,400000,41,19170.2
207,G4_Zr,6.51E+00,1.72E+24,1.57E+00,393,48.671,1.638,3.23E+02,16000,10,400000,40,26045.7
208,G4_Ce,6.66E+00,1.66E+24,1.20E+00,523,47.834,1.461,4.51E+02,33640,10,400000,58,13173.6
209,G4_Sb,6.69E+00,1.69E+24,1.30E+00,487,48.242,1.645,4.14E+02,26010,10,400000,51,21694.6
210,G4_Pr,6.71E+00,1.69E+24,1.16E+00,535,48.301,1.52,4.62E+02,34810,10,400000,59,12674.3
211,G4_Yb,6.73E+00,1.64E+24,1.04E+00,684,47.546,2.505,6.03E+02,49000,10,400000,70,9574.07
212,G4_Nd,6.90E+00,1.73E+24,1.12E+00,546,48.819,1.588,4.73E+02,36000,10,400000,60,11361.3
213,G4_THALLIUM_CHLORIDE,7.00E+00,1.72E+24,1.02E+00,690.3,48.7486,1,6.10E+02,51179,10,400000,49,11769.7
214,G4_BGO,7.13E+00,1.81E+24,1.12E+00,534.1,49.904,2.121,4.63E+02,39091.3,10,400000,27.5789,21598.9
215,G4_Zn,7.13E+00,1.97E+24,1.74E+00,330,52.132,3.142,2.61E+02,9000,10,400000,30,23722.3
216,G4_FERROBORIDE,7.15E+00,2.00E+24,2.20E+00,261,52.546,2.726,1.96E+02,5104.88,10,400000,15.5,24395
217,G4_Cr,7.18E+00,2.00E+24,2.08E+00,257,52.458,2.181,1.94E+02,5760,10,400000,24,38322.3
218,G4_Pm,7.22E+00,1.83E+24,1.04E+00,560,50.236,1.672,4.86E+02,37210,10,400000,61,12751.3
219,G4_In,7.31E+00,1.88E+24,1.21E+00,488,50.896,1.851,4.13E+02,24010,10,400000,49,13724.4
220,G4_Sn,7.31E+00,1.85E+24,1.21E+00,488,50.567,1.732,4.14E+02,25000,10,400000,50,18513.2
221,G4_Mn,7.44E+00,2.04E+24,1.97E+00,272,53.022,2.347,2.07E+02,6250,10,400000,25,31483.3
222,G4_GADOLINIUM_OXYSULFIDE,7.44E+00,1.89E+24,1.14E+00,493.3,51.099,2.179,4.22E+02,30471.3,10,400000,32,17494.3
223,G4_Sm,7.46E+00,1.85E+24,1.02E+00,574,50.54,1.749,4.99E+02,38440,10,400000,62,12763.8
224,G4_Fe,7.87E+00,2.21E+24,1.76E+00,286,55.172,2.504,2.20E+02,6760,10,400000,26,21485.5
225,G4_CADMIUM_TUNGSTATE,7.90E+00,2.03E+24,1.10E+00,468.3,52.954,2.289,4.00E+02,29335.6,10,400000,25.6667,24146.7
226,G4_Gd,7.90E+00,1.94E+24,9.47E-01,591,51.672,1.882,5.15E+02,40960,10,400000,64,12342.2
227,G4_STAINLESS-STEEL,8.00E+00,2.24E+24,1.74E+00,282.977,55.6302,1,2.17E+02,6672.7,10,400000,25.8,25244.3
228,G4_Tb,8.23E+00,2.03E+24,8.94E-01,614,52.865,1.993,5.37E+02,42250,10,400000,65,11576.7
229,G4_PbWO4,8.28E+00,2.06E+24,8.92E-01,542.741,53.296,1,4.75E+02,46732.1,10,400000,31.3333,23724.2
230,G4_BRASS,8.52E+00,2.32E+24,1.37E+00,349.845,56.5272,1,2.81E+02,11658,10,400000,30.94,26388.5
231,G4_Dy,8.55E+00,2.09E+24,8.56E-01,628,53.698,2.081,5.50E+02,43560,10,400000,66,11629.1
232,G4_Nb,8.57E+00,2.28E+24,1.16E+00,417,56.039,1.734,3.45E+02,16810,10,400000,41,26471
233,G4_Cd,8.65E+00,2.22E+24,1.04E+00,469,55.381,1.895,3.96E+02,23040,10,400000,48,20292.3
234,G4_Ho,8.80E+00,2.15E+24,8.22E-01,650,54.467,2.197,5.71E+02,44890,10,400000,67,11601.2
235,G4_BRONZE,8.82E+00,2.41E+24,1.37E+00,339.609,57.5865,1,2.71E+02,10489.3,10,400000,30.15,27745.6
236,G4_Co,8.90E+00,2.46E+24,1.53E+00,297,58.188,2.626,2.30E+02,7290,10,400000,27,25235.6
237,G4_Ni,8.90E+00,2.56E+24,1.42E+00,311,59.385,2.889,2.43E+02,7840,10,400000,28,36000
238,G4_Cu,8.96E+00,2.46E+24,1.44E+00,322,58.27,2.956,2.53E+02,8410,10,400000,29,28414.2
239,G4_Er,9.07E+00,2.22E+24,7.88E-01,658,55.322,2.26,5.78E+02,46240,10,400000,68,11741.6
240,G4_Po,9.32E+00,2.26E+24,6.61E-01,830,55.773,1.637,7.45E+02,70560,10,400000,84,16299.8
241,G4_At,9.32E+00,2.27E+24,6.51E-01,825,55.9698,1,7.41E+02,72250,10,400000,85,4699.57
242,G4_Tm,9.32E+00,2.29E+24,7.54E-01,674,56.225,2.333,5.94E+02,47610,10,400000,69,11804.4
243,G4_LEAD_OXIDE,9.53E+00,2.31E+24,7.10E-01,766.7,56.488,2.012,6.83E+02,58822,10,400000,44.9985,19993.1
244,G4_Bi,9.75E+00,2.33E+24,6.45E-01,823,56.696,1.684,7.38E+02,68890,10,400000,83,19551
245,G4_Lu,9.84E+00,2.40E+24,7.04E-01,694,57.581,2.348,6.13E+02,50410,10,400000,71,12888.5
246,G4_Ac,1.01E+01,2.38E+24,6.02E-01,841,57.254,1.38,7.58E+02,79210,10,400000,89,13354.3
247,G4_Mo,1.02E+01,2.69E+24,9.59E-01,424,60.951,1.658,3.52E+02,17640,10,400000,42,39325.4
248,G4_Ag,1.05E+01,2.76E+24,8.54E-01,470,61.635,1.933,3.96E+02,22090,10,400000,47,39325.4
249,G4_URANIUM_OXIDE,1.10E+01,2.64E+24,6.07E-01,720.6,60.332,1.76,6.43E+02,67315.2,10,400000,36,23434.3
250,G4_URANIUM_DICARBIDE,1.13E+01,2.70E+24,5.77E-01,752,60.969,1.703,6.73E+02,70756,10,400000,34.6667,25430.2
251,G4_Pb,1.14E+01,2.70E+24,5.61E-01,823,61.072,1.755,7.37E+02,67240,10,400000,82,18025.1
252,G4_Tc,1.15E+01,3.04E+24,8.33E-01,428,64.76,1.727,3.56E+02,18490,10,400000,43,31472.1
253,G4_Tl,1.17E+01,2.80E+24,5.48E-01,810,62.104,1.814,7.25E+02,65610,10,400000,81,11022.7
254,G4_Th,1.17E+01,2.74E+24,5.18E-01,847,61.438,1.363,7.64E+02,81000,10,400000,90,16428.8
255,G4_Pd,1.20E+01,3.13E+24,7.66E-01,470,65.683,1.911,3.95E+02,21160,10,400000,46,40379.7
256,G4_Ru,1.24E+01,3.25E+24,7.64E-01,441,23.467,1.823,3.68E+02,19360,10,400000,44,31590
257,G4_Rh,1.24E+01,3.27E+24,7.47E-01,449,67.128,1.804,3.76E+02,20250,10,400000,45,29604.5
258,G4_Hf,1.33E+01,3.23E+24,5.18E-01,705,66.77,2.174,6.24E+02,51840,10,400000,72,17242.4
259,G4_Hg,1.35E+01,3.25E+24,4.75E-01,800,66.977,1.904,7.15E+02,64000,10,400000,80,15466.1
260,G4_URANIUM_MONOCARBIDE,1.36E+01,3.22E+24,4.59E-01,862,66.602,1.68,7.76E+02,77209.6,10,400000,49,25646.6
261,G4_Pa,1.54E+01,3.65E+24,3.86E-01,878,70.901,1.42,7.93E+02,82810,10,400000,91,95824.5
262,G4_Ta,1.67E+01,4.05E+24,4.09E-01,718,74.692,2.07,6.36E+02,53290,10,400000,73,31483.3
263,G4_U,1.90E+01,4.41E+24,3.17E-01,890,77.986,1.447,8.04E+02,84640,10,400000,92,26301.5
264,G4_W,1.93E+01,4.68E+24,3.50E-01,727,80.315,1.997,6.45E+02,54760,10,400000,74,38322.3
265,G4_Au,1.93E+01,4.67E+24,3.34E-01,790,80.215,1.926,7.05E+02,62410,10,400000,79,41467.2
266,G4_Re,2.10E+01,5.10E+24,3.18E-01,736,83.846,1.976,6.54E+02,56250,10,400000,75,27300.6
267,G4_Pt,2.15E+01,5.16E+24,3.05E-01,790,84.389,1.965,7.05E+02,60840,10,400000,78,38322.3
268,G4_Ir,2.24E+01,5.41E+24,2.94E-01,757,86.357,1.927,6.74E+02,59290,10,400000,77,29992.1
269,G4_Os,2.26E+01,5.43E+24,2.96E-01,746,86.537,1.947,6.63E+02,57760,10,400000,76,28799.3
